SCOUT,AVOCADO,BONE,ROPE,STICK,BIKE
A,B,C,D,E,S,C,O,U,S,C,O,U,T,B,C,D,E,A
N,O,P,C,S,W,O,D,A,C,O,V,A,M,P,N,C,O,N
C,N,K,P,C,O,N,D,A,O,M,C,O,B,C,V,X,Z,Q
X,E,C,D,F,N,D,O,K,H,J,F,C,A,N,B,M,A,X
I,F,I,C,K,P,U,W,E,C,X,S,A,N,M,A,P,E,L
L,N,T,P,N,O,W,C,N,M,A,C,P,P,A,C,O,N,E
G,H,S,A,N,O,C,Q,N,Z,X,Q,N,C,U,O,Q,W,N
E,C,A,R,Q,N,P,O,U,I,E,W,C,Q,N,K,E,N,A
O,P,A,B,C,D,E,S,C,O,U,S,C,O,T,B,C,D,A
I,W,O,E,B,C,O,U,N,T,E,R,O,N,C,S,E,P,Q
P,O,M,R,S,I,K,E,C,Y,C,L,E,S,T,A,R,M,E
Y,C,L,E,S,T,K,O,U,I,E,W,C,Q,N,N,A,E,P
P,O,W,E,R,N,S,E,P,U,S,C,O,T,B,C,P,W,A
E,C,A,R,Q,N,P,O,U,I,E,W,C,Q,N,K,E,N,A
I,W,O,E,B,C,O,U,N,T,E,R,O,N,C,S,E,P,Q
C,N,K,P,C,O,N,D,A,O,M,C,O,B,C,V,X,Z,Q
P,O,M,R,S,I,K,E,C,Y,C,L,E,S,T,A,R,M,E
Y,C,L,E,S,T,K,O,U,I,E,W,C,Q,N,N,A,E,P
